table_code,var_name,ons_name,total,table_scode,prog_id,var_id,set_null
TS001,Residence type: Total,Residence type: Total; measures: Value,59597747,1000,1,1001,0
TS003,Household composition: Single family household: Other single family household: Other family composition,Household composition: Single family household: Other single family household: Other family composition; measures: Value,191961,3000,19,3019,0
TS003,Household composition: Other household types,Household composition: Other household types; measures: Value,1688706,3000,20,3020,0
TS003,Household composition: Other household types: With dependent children,Household composition: Other household types: With dependent children; measures: Value,656522,3000,21,3021,0
TS003,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value",1032184,3000,22,3022,0
TS017,Household size: Total: All household spaces,Household size: Total: All household spaces; measures: Value,24783116,17000,1,17001,0
TS017,Household size: 0 people in household,Household size: 0 people in household; measures: Value,0,17000,2,17002,0
TS017,Household size: 1 person in household,Household size: 1 person in household; measures: Value,7481989,17000,3,17003,0
TS017,Household size: 2 people in household,Household size: 2 people in household; measures: Value,8451180,17000,4,17004,0
TS017,Household size: 3 people in household,Household size: 3 people in household; measures: Value,3955389,17000,5,17005,0
TS017,Household size: 4 people in household,Household size: 4 people in household; measures: Value,3182026,17000,6,17006,0
TS017,Household size: 5 people in household,Household size: 5 people in household; measures: Value,1112481,17000,7,17007,0
TS017,Household size: 6 people in household,Household size: 6 people in household; measures: Value,374086,17000,8,17008,0
TS017,Household size: 7 people in household,Household size: 7 people in household; measures: Value,130502,17000,9,17009,0
TS017,Household size: 8 or more people in household,Household size: 8 or more people in household; measures: Value,95463,17000,10,17010,0
TS010,Living arrangements: Total,Living arrangements: Total; measures: Value,47560056,10000,1,10001,0
TS010,Living arrangements: Living in a couple,Living arrangements: Living in a couple; measures: Value,27504156,10000,2,10002,0
TS010,Living arrangements: Living in a couple: Married or in a civil partnership,Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value,20762982,10000,3,10003,0
TS010,Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple,Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value,20604700,10000,4,10004,0
TS010,Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple,Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value,158282,10000,5,10005,0
TS010,"Living arrangements: Living in a couple: Separated, but still married or in a civil partnership","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value",47378,10000,6,10006,0
TS010,Living arrangements: Living in a couple: Cohabiting,Living arrangements: Living in a couple: Cohabiting; measures: Value,6693796,10000,7,10007,0
TS010,Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple,Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value,6375688,10000,8,10008,0
TS010,Living arrangements: Living in a couple: Cohabiting: Same-sex couple,Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value,318108,10000,9,10009,0
TS010,Living arrangements: Not living in a couple,Living arrangements: Not living in a couple; measures: Value,20055900,10000,10,10010,0
TS010,Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership),Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value,12681843,10000,11,10011,0
TS010,Living arrangements: Not living in a couple: Married or in a registered civil partnership,Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value,652787,10000,12,10012,0
TS010,Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships),Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value,884967,10000,13,10013,0
TS010,Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value,3159144,10000,14,10014,0
TS010,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value,2677159,10000,15,10015,0
TS011,Household deprivation: Total: All households,Household deprivation: Total: All households; measures: Value,24782094,11000,1,11001,0
TS011,Household deprivation: Household is not deprived in any dimension,Household deprivation: Household is not deprived in any dimension; measures: Value,11967828,11000,2,11002,0
TS011,Household deprivation: Household is deprived in one dimension,Household deprivation: Household is deprived in one dimension; measures: Value,8292342,11000,3,11003,0
TS011,Household deprivation: Household is deprived in two dimensions,Household deprivation: Household is deprived in two dimensions; measures: Value,3536245,11000,4,11004,0
TS011,Household deprivation: Household is deprived in three dimensions,Household deprivation: Household is deprived in three dimensions; measures: Value,928400,11000,5,11005,0
TS011,Household deprivation: Household is deprived in four dimensions,Household deprivation: Household is deprived in four dimensions; measures: Value,57279,11000,6,11006,0
TS007,Age: Total,Age: Total; measures: Value,59596847,7000,1,7001,0
TS007,Age: Aged 4 years and under,Age: Aged 4 years and under; measures: Value,3231990,7000,2,7002,0
TS007,Age: Aged under 1 year,Age: Aged under 1 year; measures: Value,607330,7000,3,7003,0
TS007,Age: Aged 1 year,Age: Aged 1 year; measures: Value,635693,7000,4,7004,0
TS007,Age: Aged 2 years,Age: Aged 2 years; measures: Value,650202,7000,5,7005,0
TS007,Age: Aged 3 years,Age: Aged 3 years; measures: Value,658768,7000,6,7006,0
TS007,Age: Aged 4 years,Age: Aged 4 years; measures: Value,679997,7000,7,7007,0
TS007,Age: Aged 5 to 9 years,Age: Aged 5 to 9 years; measures: Value,3524402,7000,8,7008,0
TS007,Age: Aged 5 years,Age: Aged 5 years; measures: Value,693088,7000,9,7009,0
TS007,Age: Aged 6 years,Age: Aged 6 years; measures: Value,684661,7000,10,7010,0
TS007,Age: Aged 7 years,Age: Aged 7 years; measures: Value,693138,7000,11,7011,0
TS007,Age: Aged 8 years,Age: Aged 8 years; measures: Value,722306,7000,12,7012,0
TS007,Age: Aged 9 years,Age: Aged 9 years; measures: Value,731209,7000,13,7013,0
TS007,Age: Aged 10 to 15 years,Age: Aged 10 to 15 years; measures: Value,4274332,7000,14,7014,0
TS007,Age: Aged 10 years,Age: Aged 10 years; measures: Value,731561,7000,15,7015,0
TS007,Age: Aged 11 years,Age: Aged 11 years; measures: Value,724483,7000,16,7016,0
TS007,Age: Aged 12 years,Age: Aged 12 years; measures: Value,721923,7000,17,7017,0
TS007,Age: Aged 13 years,Age: Aged 13 years; measures: Value,719343,7000,18,7018,0
TS007,Age: Aged 14 years,Age: Aged 14 years; measures: Value,698518,7000,19,7019,0
TS007,Age: Aged 15 years,Age: Aged 15 years; measures: Value,678504,7000,20,7020,0
TS007,Age: Aged 16 to 19 years,Age: Aged 16 to 19 years; measures: Value,2716220,7000,21,7021,0
TS007,Age: Aged 16 years,Age: Aged 16 years; measures: Value,684661,7000,22,7022,0
TS007,Age: Aged 17 years,Age: Aged 17 years; measures: Value,676368,7000,23,7023,0
TS007,Age: Aged 18 years,Age: Aged 18 years; measures: Value,667692,7000,24,7024,0
TS007,Age: Aged 19 years,Age: Aged 19 years; measures: Value,687499,7000,25,7025,0
TS007,Age: Aged 20 to 24 years,Age: Aged 20 to 24 years; measures: Value,3602142,7000,26,7026,0
TS007,Age: Aged 20 years,Age: Aged 20 years; measures: Value,686161,7000,27,7027,0
TS007,Age: Aged 21 years,Age: Aged 21 years; measures: Value,706174,7000,28,7028,0
TS007,Age: Aged 22 years,Age: Aged 22 years; measures: Value,725369,7000,29,7029,0
TS007,Age: Aged 23 years,Age: Aged 23 years; measures: Value,735715,7000,30,7030,0
TS007,Age: Aged 24 years,Age: Aged 24 years; measures: Value,748723,7000,31,7031,0
TS007,Age: Aged 25 to 34 years,Age: Aged 25 to 34 years; measures: Value,8050299,7000,32,7032,0
TS007,Age: Aged 25 years,Age: Aged 25 years; measures: Value,748067,7000,33,7033,0
TS007,Age: Aged 26 years,Age: Aged 26 years; measures: Value,764086,7000,34,7034,0
TS007,Age: Aged 27 years,Age: Aged 27 years; measures: Value,780021,7000,35,7035,0
TS007,Age: Aged 28 years,Age: Aged 28 years; measures: Value,793928,7000,36,7036,0
TS007,Age: Aged 29 years,Age: Aged 29 years; measures: Value,815553,7000,37,7037,0
TS007,Age: Aged 30 years,Age: Aged 30 years; measures: Value,837925,7000,38,7038,0
TS007,Age: Aged 31 years,Age: Aged 31 years; measures: Value,827430,7000,39,7039,0
TS007,Age: Aged 32 years,Age: Aged 32 years; measures: Value,829817,7000,40,7040,0
TS007,Age: Aged 33 years,Age: Aged 33 years; measures: Value,838389,7000,41,7041,0
TS007,Age: Aged 34 years,Age: Aged 34 years; measures: Value,815083,7000,42,7042,0
TS007,Age: Aged 35 to 49 years,Age: Aged 35 to 49 years; measures: Value,11526410,7000,43,7043,0
TS007,Age: Aged 35 years,Age: Aged 35 years; measures: Value,814355,7000,44,7044,0
TS007,Age: Aged 36 years,Age: Aged 36 years; measures: Value,805134,7000,45,7045,0
TS007,Age: Aged 37 years,Age: Aged 37 years; measures: Value,790391,7000,46,7046,0
TS007,Age: Aged 38 years,Age: Aged 38 years; measures: Value,785797,7000,47,7047,0
TS007,Age: Aged 39 years,Age: Aged 39 years; measures: Value,785965,7000,48,7048,0
TS007,Age: Aged 40 years,Age: Aged 40 years; measures: Value,804047,7000,49,7049,0
TS007,Age: Aged 41 years,Age: Aged 41 years; measures: Value,791352,7000,50,7050,0
TS007,Age: Aged 42 years,Age: Aged 42 years; measures: Value,748962,7000,51,7051,0
TS007,Age: Aged 43 years,Age: Aged 43 years; measures: Value,705318,7000,52,7052,0
TS007,Age: Aged 44 years,Age: Aged 44 years; measures: Value,706212,7000,53,7053,0
TS007,Age: Aged 45 years,Age: Aged 45 years; measures: Value,716546,7000,54,7054,0
TS007,Age: Aged 46 years,Age: Aged 46 years; measures: Value,734940,7000,55,7055,0
TS007,Age: Aged 47 years,Age: Aged 47 years; measures: Value,746894,7000,56,7056,0
TS007,Age: Aged 48 years,Age: Aged 48 years; measures: Value,779117,7000,57,7057,0
TS007,Age: Aged 49 years,Age: Aged 49 years; measures: Value,811380,7000,58,7058,0
TS007,Age: Aged 50 to 64 years,Age: Aged 50 to 64 years; measures: Value,11607758,7000,59,7059,0
TS007,Age: Aged 50 years,Age: Aged 50 years; measures: Value,828061,7000,60,7060,0
TS007,Age: Aged 51 years,Age: Aged 51 years; measures: Value,810946,7000,61,7061,0
TS007,Age: Aged 52 years,Age: Aged 52 years; measures: Value,829818,7000,62,7062,0
TS007,Age: Aged 53 years,Age: Aged 53 years; measures: Value,824332,7000,63,7063,0
TS007,Age: Aged 54 years,Age: Aged 54 years; measures: Value,830074,7000,64,7064,0
TS007,Age: Aged 55 years,Age: Aged 55 years; measures: Value,828717,7000,65,7065,0
TS007,Age: Aged 56 years,Age: Aged 56 years; measures: Value,829589,7000,66,7066,0
TS007,Age: Aged 57 years,Age: Aged 57 years; measures: Value,810294,7000,67,7067,0
TS007,Age: Aged 58 years,Age: Aged 58 years; measures: Value,792850,7000,68,7068,0
TS007,Age: Aged 59 years,Age: Aged 59 years; measures: Value,767452,7000,69,7069,0
TS007,Age: Aged 60 years,Age: Aged 60 years; measures: Value,743451,7000,70,7070,0
TS007,Age: Aged 61 years,Age: Aged 61 years; measures: Value,706952,7000,71,7071,0
TS007,Age: Aged 62 years,Age: Aged 62 years; measures: Value,692426,7000,72,7072,0
TS007,Age: Aged 63 years,Age: Aged 63 years; measures: Value,671621,7000,73,7073,0
TS007,Age: Aged 64 years,Age: Aged 64 years; measures: Value,641175,7000,74,7074,0
TS007,Age: Aged 65 to 74 years,Age: Aged 65 to 74 years; measures: Value,5923184,7000,75,7075,0
TS007,Age: Aged 65 years,Age: Aged 65 years; measures: Value,611697,7000,76,7076,0
TS007,Age: Aged 66 years,Age: Aged 66 years; measures: Value,596275,7000,77,7077,0
TS007,Age: Aged 67 years,Age: Aged 67 years; measures: Value,596440,7000,78,7078,0
TS007,Age: Aged 68 years,Age: Aged 68 years; measures: Value,576096,7000,79,7079,0
TS007,Age: Aged 69 years,Age: Aged 69 years; measures: Value,564580,7000,80,7080,0
TS007,Age: Aged 70 years,Age: Aged 70 years; measures: Value,564494,7000,81,7081,0
TS007,Age: Aged 71 years,Age: Aged 71 years; measures: Value,574876,7000,82,7082,0
TS007,Age: Aged 72 years,Age: Aged 72 years; measures: Value,583797,7000,83,7083,0
TS007,Age: Aged 73 years,Age: Aged 73 years; measures: Value,631374,7000,84,7084,0
TS007,Age: Aged 74 years,Age: Aged 74 years; measures: Value,623555,7000,85,7085,0
TS007,Age: Aged 75 to 84 years,Age: Aged 75 to 84 years; measures: Value,3685496,7000,86,7086,0
TS007,Age: Aged 75 years,Age: Aged 75 years; measures: Value,469543,7000,87,7087,0
TS007,Age: Aged 76 years,Age: Aged 76 years; measures: Value,490731,7000,88,7088,0
TS007,Age: Aged 77 years,Age: Aged 77 years; measures: Value,446838,7000,89,7089,0
TS007,Age: Aged 78 years,Age: Aged 78 years; measures: Value,413161,7000,90,7090,0
TS007,Age: Aged 79 years,Age: Aged 79 years; measures: Value,350066,7000,91,7091,0
TS007,Age: Aged 80 years,Age: Aged 80 years; measures: Value,326584,7000,92,7092,0
TS007,Age: Aged 81 years,Age: Aged 81 years; measures: Value,328720,7000,93,7093,0
TS007,Age: Aged 82 years,Age: Aged 82 years; measures: Value,310580,7000,94,7094,0
TS007,Age: Aged 83 years,Age: Aged 83 years; measures: Value,287048,7000,95,7095,0
TS007,Age: Aged 84 years,Age: Aged 84 years; measures: Value,262225,7000,96,7096,0
TS007,Age: Aged 85 years and over,Age: Aged 85 years and over; measures: Value,1454614,7000,97,7097,0
TS007,Age: Aged 85 years,Age: Aged 85 years; measures: Value,234019,7000,98,7098,0
TS007,Age: Aged 86 years,Age: Aged 86 years; measures: Value,208162,7000,99,7099,0
TS007,Age: Aged 87 years,Age: Aged 87 years; measures: Value,181100,7000,100,7100,0
TS007,Age: Aged 88 years,Age: Aged 88 years; measures: Value,161409,7000,101,7101,0
TS007,Age: Aged 89 years,Age: Aged 89 years; measures: Value,140567,7000,102,7102,0
TS007,Age: Aged 90 years,Age: Aged 90 years; measures: Value,122126,7000,103,7103,0
TS007,Age: Aged 91 years,Age: Aged 91 years; measures: Value,98943,7000,104,7104,0
TS007,Age: Aged 92 years,Age: Aged 92 years; measures: Value,79372,7000,105,7105,0
TS007,Age: Aged 93 years,Age: Aged 93 years; measures: Value,61598,7000,106,7106,0
TS007,Age: Aged 94 years,Age: Aged 94 years; measures: Value,48409,7000,107,7107,0
TS007,Age: Aged 95 years,Age: Aged 95 years; measures: Value,36184,7000,108,7108,0
TS007,Age: Aged 96 years,Age: Aged 96 years; measures: Value,26749,7000,109,7109,0
TS007,Age: Aged 97 years,Age: Aged 97 years; measures: Value,18993,7000,110,7110,0
TS007,Age: Aged 98 years,Age: Aged 98 years; measures: Value,13495,7000,111,7111,0
TS007,Age: Aged 99 years,Age: Aged 99 years; measures: Value,9605,7000,112,7112,0
TS007,Age: Aged 100 years and over,Age: Aged 100 years and over; measures: Value,13883,7000,113,7113,0
TS008,Sex: All persons,Sex: All persons; measures: Value,59597326,8000,1,8001,0
TS008,Sex: Female,Sex: Female; measures: Value,30420024,8000,2,8002,0
TS008,Sex: Male,Sex: Male; measures: Value,29177302,8000,3,8003,0
TS009,Sex: All persons; Age: Total,Sex: All persons; Age: Total; measures: Value,59597529,9000,1,9001,0
TS009,Sex: All persons; Age: Aged 4 years and under,Sex: All persons; Age: Aged 4 years and under; measures: Value,3232032,9000,2,9002,0
TS009,Sex: All persons; Age: Aged under 1 year,Sex: All persons; Age: Aged under 1 year; measures: Value,607323,9000,3,9003,0
TS009,Sex: All persons; Age: Aged 1 year,Sex: All persons; Age: Aged 1 year; measures: Value,635765,9000,4,9004,0
TS009,Sex: All persons; Age: Aged 2 years,Sex: All persons; Age: Aged 2 years; measures: Value,650184,9000,5,9005,0
TS009,Sex: All persons; Age: Aged 3 years,Sex: All persons; Age: Aged 3 years; measures: Value,658770,9000,6,9006,0
TS009,Sex: All persons; Age: Aged 4 years,Sex: All persons; Age: Aged 4 years; measures: Value,679990,9000,7,9007,0
TS009,Sex: All persons; Age: Aged 5 to 9 years,Sex: All persons; Age: Aged 5 to 9 years; measures: Value,3524646,9000,8,9008,0
TS009,Sex: All persons; Age: Aged 5 years,Sex: All persons; Age: Aged 5 years; measures: Value,693143,9000,9,9009,0
TS009,Sex: All persons; Age: Aged 6 years,Sex: All persons; Age: Aged 6 years; measures: Value,684635,9000,10,9010,0
TS009,Sex: All persons; Age: Aged 7 years,Sex: All persons; Age: Aged 7 years; measures: Value,693261,9000,11,9011,0
TS009,Sex: All persons; Age: Aged 8 years,Sex: All persons; Age: Aged 8 years; measures: Value,722335,9000,12,9012,0
TS009,Sex: All persons; Age: Aged 9 years,Sex: All persons; Age: Aged 9 years; measures: Value,731272,9000,13,9013,0
TS009,Sex: All persons; Age: Aged 10 to 15 years,Sex: All persons; Age: Aged 10 to 15 years; measures: Value,4274550,9000,14,9014,0
TS009,Sex: All persons; Age: Aged 10 years,Sex: All persons; Age: Aged 10 years; measures: Value,731571,9000,15,9015,0
TS009,Sex: All persons; Age: Aged 11 years,Sex: All persons; Age: Aged 11 years; measures: Value,724510,9000,16,9016,0
TS009,Sex: All persons; Age: Aged 12 years,Sex: All persons; Age: Aged 12 years; measures: Value,722055,9000,17,9017,0
TS009,Sex: All persons; Age: Aged 13 years,Sex: All persons; Age: Aged 13 years; measures: Value,719404,9000,18,9018,0
TS009,Sex: All persons; Age: Aged 14 years,Sex: All persons; Age: Aged 14 years; measures: Value,698526,9000,19,9019,0
TS009,Sex: All persons; Age: Aged 15 years,Sex: All persons; Age: Aged 15 years; measures: Value,678484,9000,20,9020,0
TS009,Sex: All persons; Age: Aged 16 to 19 years,Sex: All persons; Age: Aged 16 to 19 years; measures: Value,2716192,9000,21,9021,0
TS009,Sex: All persons; Age: Aged 16 years,Sex: All persons; Age: Aged 16 years; measures: Value,684721,9000,22,9022,0
TS009,Sex: All persons; Age: Aged 17 years,Sex: All persons; Age: Aged 17 years; measures: Value,676336,9000,23,9023,0
TS009,Sex: All persons; Age: Aged 18 years,Sex: All persons; Age: Aged 18 years; measures: Value,667639,9000,24,9024,0
TS009,Sex: All persons; Age: Aged 19 years,Sex: All persons; Age: Aged 19 years; measures: Value,687496,9000,25,9025,0
TS009,Sex: All persons; Age: Aged 20 to 24 years,Sex: All persons; Age: Aged 20 to 24 years; measures: Value,3602164,9000,26,9026,0
TS009,Sex: All persons; Age: Aged 20 years,Sex: All persons; Age: Aged 20 years; measures: Value,686224,9000,27,9027,0
TS009,Sex: All persons; Age: Aged 21 years,Sex: All persons; Age: Aged 21 years; measures: Value,706140,9000,28,9028,0
TS009,Sex: All persons; Age: Aged 22 years,Sex: All persons; Age: Aged 22 years; measures: Value,725376,9000,29,9029,0
TS009,Sex: All persons; Age: Aged 23 years,Sex: All persons; Age: Aged 23 years; measures: Value,735721,9000,30,9030,0
TS009,Sex: All persons; Age: Aged 24 years,Sex: All persons; Age: Aged 24 years; measures: Value,748703,9000,31,9031,0
TS009,Sex: All persons; Age: Aged 25 to 34 years,Sex: All persons; Age: Aged 25 to 34 years; measures: Value,8050523,9000,32,9032,0
TS009,Sex: All persons; Age: Aged 25 years,Sex: All persons; Age: Aged 25 years; measures: Value,747936,9000,33,9033,0
TS009,Sex: All persons; Age: Aged 26 years,Sex: All persons; Age: Aged 26 years; measures: Value,764068,9000,34,9034,0
TS009,Sex: All persons; Age: Aged 27 years,Sex: All persons; Age: Aged 27 years; measures: Value,780143,9000,35,9035,0
TS009,Sex: All persons; Age: Aged 28 years,Sex: All persons; Age: Aged 28 years; measures: Value,794006,9000,36,9036,0
TS009,Sex: All persons; Age: Aged 29 years,Sex: All persons; Age: Aged 29 years; measures: Value,815589,9000,37,9037,0
TS009,Sex: All persons; Age: Aged 30 years,Sex: All persons; Age: Aged 30 years; measures: Value,837975,9000,38,9038,0
TS009,Sex: All persons; Age: Aged 31 years,Sex: All persons; Age: Aged 31 years; measures: Value,827413,9000,39,9039,0
TS009,Sex: All persons; Age: Aged 32 years,Sex: All persons; Age: Aged 32 years; measures: Value,829878,9000,40,9040,0
TS009,Sex: All persons; Age: Aged 33 years,Sex: All persons; Age: Aged 33 years; measures: Value,838395,9000,41,9041,0
TS009,Sex: All persons; Age: Aged 34 years,Sex: All persons; Age: Aged 34 years; measures: Value,815120,9000,42,9042,0
TS009,Sex: All persons; Age: Aged 35 to 49 years,Sex: All persons; Age: Aged 35 to 49 years; measures: Value,11526044,9000,43,9043,0
TS009,Sex: All persons; Age: Aged 35 years,Sex: All persons; Age: Aged 35 years; measures: Value,814371,9000,44,9044,0
TS009,Sex: All persons; Age: Aged 36 years,Sex: All persons; Age: Aged 36 years; measures: Value,805120,9000,45,9045,0
TS009,Sex: All persons; Age: Aged 37 years,Sex: All persons; Age: Aged 37 years; measures: Value,790373,9000,46,9046,0
TS009,Sex: All persons; Age: Aged 38 years,Sex: All persons; Age: Aged 38 years; measures: Value,785720,9000,47,9047,0
TS009,Sex: All persons; Age: Aged 39 years,Sex: All persons; Age: Aged 39 years; measures: Value,786003,9000,48,9048,0
TS009,Sex: All persons; Age: Aged 40 years,Sex: All persons; Age: Aged 40 years; measures: Value,803971,9000,49,9049,0
TS009,Sex: All persons; Age: Aged 41 years,Sex: All persons; Age: Aged 41 years; measures: Value,791340,9000,50,9050,0
TS009,Sex: All persons; Age: Aged 42 years,Sex: All persons; Age: Aged 42 years; measures: Value,748975,9000,51,9051,0
TS009,Sex: All persons; Age: Aged 43 years,Sex: All persons; Age: Aged 43 years; measures: Value,705255,9000,52,9052,0
TS009,Sex: All persons; Age: Aged 44 years,Sex: All persons; Age: Aged 44 years; measures: Value,706203,9000,53,9053,0
TS009,Sex: All persons; Age: Aged 45 years,Sex: All persons; Age: Aged 45 years; measures: Value,716539,9000,54,9054,0
