id,prog_id,description,table_id,level,loaded
3004,4,Household composition: One person household: Other,TS003,2,1
3005,5,Household composition: Single family household,TS003,1,1
3006,6,Household composition: Single family household: All aged 66 years and over,TS003,2,1
3007,7,Household composition: Single family household: Married or civil partnership couple,TS003,2,1
3008,8,Household composition: Single family household: Married or civil partnership couple: No children,TS003,3,1
3009,9,Household composition: Single family household: Married or civil partnership couple: Dependent children,TS003,3,1
3010,10,Household composition: Single family household: Married or civil partnership couple: All children non-dependent,TS003,3,1
3011,11,Household composition: Single family household: Cohabiting couple family,TS003,2,1
3012,12,Household composition: Single family household: Cohabiting couple family: No children,TS003,3,1
3013,13,Household composition: Single family household: Cohabiting couple family: With dependent children,TS003,3,1
3014,14,Household composition: Single family household: Cohabiting couple family: All children non-dependent,TS003,3,1
3015,15,Household composition: Single family household: Lone parent family,TS003,2,1
3016,16,Household composition: Single family household: Lone parent family: With dependent children,TS003,3,1
3017,17,Household composition: Single family household: Lone parent family: All children non-dependent,TS003,3,1
3018,18,Household composition: Single family household: Other single family household,TS003,2,1
3019,19,Household composition: Single family household: Other single family household: Other family composition,TS003,1,0
3020,20,Household composition: Other household types,TS003,1,1
3021,21,Household composition: Other household types: With dependent children,TS003,2,1
3022,22,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over",TS003,2,1
17001,1,Household size: Total: All household spaces,TS017,0,0
17002,2,Household size: 0 people in household,TS017,1,1
17003,3,Household size: 1 person in household,TS017,1,1
17004,4,Household size: 2 people in household,TS017,1,1
17005,5,Household size: 3 people in household,TS017,1,1
17006,6,Household size: 4 people in household,TS017,1,1
17007,7,Household size: 5 people in household,TS017,1,1
17008,8,Household size: 6 people in household,TS017,1,1
17009,9,Household size: 7 people in household,TS017,1,1
17010,10,Household size: 8 or more people in household,TS017,1,1
10001,1,Living arrangements: Total,TS010,0,1
10002,2,Living arrangements: Living in a couple,TS010,1,1
10003,3,Living arrangements: Living in a couple: Married or in a civil partnership,TS010,2,1
10004,4,Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple,TS010,3,1
10005,5,Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple,TS010,3,1
10006,6,"Living arrangements: Living in a couple: Separated, but still married or in a civil partnership",TS010,2,1
10007,7,Living arrangements: Living in a couple: Cohabiting,TS010,2,1
10008,8,Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple,TS010,3,1
10009,9,Living arrangements: Living in a couple: Cohabiting: Same-sex couple,TS010,3,1
10010,10,Living arrangements: Not living in a couple,TS010,1,1
10011,11,Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership),TS010,2,1
10012,12,Living arrangements: Not living in a couple: Married or in a registered civil partnership,TS010,2,1
10013,13,Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships),TS010,2,1
10014,14,Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,TS010,2,1
10015,15,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership,TS010,2,1
11001,1,Household deprivation: Total: All households,TS011,0,0
11002,2,Household deprivation: Household is not deprived in any dimension,TS011,1,1
11003,3,Household deprivation: Household is deprived in one dimension,TS011,1,1
11004,4,Household deprivation: Household is deprived in two dimensions,TS011,1,1
11005,5,Household deprivation: Household is deprived in three dimensions,TS011,1,1
11006,6,Household deprivation: Household is deprived in four dimensions,TS011,1,1
7001,1,Age: Total,TS007,0,0
7002,2,Age: Aged 4 years and under,TS007,1,1
7003,3,Age: Aged under 1 year,TS007,2,1
7004,4,Age: Aged 1 year,TS007,2,1
7005,5,Age: Aged 2 years,TS007,2,1
7006,6,Age: Aged 3 years,TS007,2,1
7007,7,Age: Aged 4 years,TS007,2,1
7008,8,Age: Aged 5 to 9 years,TS007,1,1
7009,9,Age: Aged 5 years,TS007,2,1
7010,10,Age: Aged 6 years,TS007,2,1
7011,11,Age: Aged 7 years,TS007,2,1
7012,12,Age: Aged 8 years,TS007,2,1
7013,13,Age: Aged 9 years,TS007,2,1
7014,14,Age: Aged 10 to 15 years,TS007,1,1
7015,15,Age: Aged 10 years,TS007,2,1
7016,16,Age: Aged 11 years,TS007,2,1
7017,17,Age: Aged 12 years,TS007,2,1
7018,18,Age: Aged 13 years,TS007,2,1
7019,19,Age: Aged 14 years,TS007,2,1
7020,20,Age: Aged 15 years,TS007,2,1
7021,21,Age: Aged 16 to 19 years,TS007,1,1
7022,22,Age: Aged 16 years,TS007,2,1
7023,23,Age: Aged 17 years,TS007,2,1
7024,24,Age: Aged 18 years,TS007,2,1
7025,25,Age: Aged 19 years,TS007,2,1
7026,26,Age: Aged 20 to 24 years,TS007,1,1
7027,27,Age: Aged 20 years,TS007,2,1
7028,28,Age: Aged 21 years,TS007,2,1
7029,29,Age: Aged 22 years,TS007,2,1
7030,30,Age: Aged 23 years,TS007,2,1
7031,31,Age: Aged 24 years,TS007,2,1
7032,32,Age: Aged 25 to 34 years,TS007,1,1
7033,33,Age: Aged 25 years,TS007,2,1
7034,34,Age: Aged 26 years,TS007,2,1
7035,35,Age: Aged 27 years,TS007,2,1
7036,36,Age: Aged 28 years,TS007,2,1
7037,37,Age: Aged 29 years,TS007,2,1
7038,38,Age: Aged 30 years,TS007,2,1
7039,39,Age: Aged 31 years,TS007,2,1
7040,40,Age: Aged 32 years,TS007,2,1
7041,41,Age: Aged 33 years,TS007,2,1
7042,42,Age: Aged 34 years,TS007,2,1
7043,43,Age: Aged 35 to 49 years,TS007,1,1
7044,44,Age: Aged 35 years,TS007,2,1
7045,45,Age: Aged 36 years,TS007,2,1
7046,46,Age: Aged 37 years,TS007,2,1
7047,47,Age: Aged 38 years,TS007,2,1
7048,48,Age: Aged 39 years,TS007,2,1
7049,49,Age: Aged 40 years,TS007,2,1
7050,50,Age: Aged 41 years,TS007,2,1
7051,51,Age: Aged 42 years,TS007,2,1
7052,52,Age: Aged 43 years,TS007,2,1
7053,53,Age: Aged 44 years,TS007,2,1
7054,54,Age: Aged 45 years,TS007,2,1
7055,55,Age: Aged 46 years,TS007,2,1
7056,56,Age: Aged 47 years,TS007,2,1
7057,57,Age: Aged 48 years,TS007,2,1
7058,58,Age: Aged 49 years,TS007,2,1
7059,59,Age: Aged 50 to 64 years,TS007,1,1
7060,60,Age: Aged 50 years,TS007,2,1
7061,61,Age: Aged 51 years,TS007,2,1
7062,62,Age: Aged 52 years,TS007,2,1
7063,63,Age: Aged 53 years,TS007,2,1
7064,64,Age: Aged 54 years,TS007,2,1
7065,65,Age: Aged 55 years,TS007,2,1
7066,66,Age: Aged 56 years,TS007,2,1
7067,67,Age: Aged 57 years,TS007,2,1
7068,68,Age: Aged 58 years,TS007,2,1
7069,69,Age: Aged 59 years,TS007,2,1
7070,70,Age: Aged 60 years,TS007,2,1
7071,71,Age: Aged 61 years,TS007,2,1
7072,72,Age: Aged 62 years,TS007,2,1
7073,73,Age: Aged 63 years,TS007,2,1
7074,74,Age: Aged 64 years,TS007,2,1
7075,75,Age: Aged 65 to 74 years,TS007,1,1
7076,76,Age: Aged 65 years,TS007,2,1
7077,77,Age: Aged 66 years,TS007,2,1
7078,78,Age: Aged 67 years,TS007,2,1
7079,79,Age: Aged 68 years,TS007,2,1
7080,80,Age: Aged 69 years,TS007,2,1
7081,81,Age: Aged 70 years,TS007,2,1
7082,82,Age: Aged 71 years,TS007,2,1
7083,83,Age: Aged 72 years,TS007,2,1
7084,84,Age: Aged 73 years,TS007,2,1
7085,85,Age: Aged 74 years,TS007,2,1
7086,86,Age: Aged 75 to 84 years,TS007,1,1
7087,87,Age: Aged 75 years,TS007,2,1
7088,88,Age: Aged 76 years,TS007,2,1
7089,89,Age: Aged 77 years,TS007,2,1
7090,90,Age: Aged 78 years,TS007,2,1
7091,91,Age: Aged 79 years,TS007,2,1
7092,92,Age: Aged 80 years,TS007,2,1
7093,93,Age: Aged 81 years,TS007,2,1
7094,94,Age: Aged 82 years,TS007,2,1
7095,95,Age: Aged 83 years,TS007,2,1
7096,96,Age: Aged 84 years,TS007,2,1
7097,97,Age: Aged 85 years and over,TS007,1,1
7098,98,Age: Aged 85 years,TS007,2,1
7099,99,Age: Aged 86 years,TS007,2,1
7100,100,Age: Aged 87 years,TS007,2,1
7101,101,Age: Aged 88 years,TS007,2,1
7102,102,Age: Aged 89 years,TS007,2,1
7103,103,Age: Aged 90 years,TS007,2,1
7104,104,Age: Aged 91 years,TS007,2,1
7105,105,Age: Aged 92 years,TS007,2,1
7106,106,Age: Aged 93 years,TS007,2,1
7107,107,Age: Aged 94 years,TS007,2,1
7108,108,Age: Aged 95 years,TS007,2,1
7109,109,Age: Aged 96 years,TS007,2,1
7110,110,Age: Aged 97 years,TS007,2,1
7111,111,Age: Aged 98 years,TS007,2,1
7112,112,Age: Aged 99 years,TS007,2,1
7113,113,Age: Aged 100 years and over,TS007,2,1
8001,1,Sex: All persons,TS008,0,0
8002,2,Sex: Female,TS008,1,1
8003,3,Sex: Male,TS008,1,1
9001,1,Sex: All persons; Age: Total,TS009,0,0
9002,2,Sex: All persons; Age: Aged 4 years and under,TS009,1,0
9003,3,Sex: All persons; Age: Aged under 1 year,TS009,2,0
9004,4,Sex: All persons; Age: Aged 1 year,TS009,2,0
9005,5,Sex: All persons; Age: Aged 2 years,TS009,2,0
9006,6,Sex: All persons; Age: Aged 3 years,TS009,2,0
9007,7,Sex: All persons; Age: Aged 4 years,TS009,2,0
9008,8,Sex: All persons; Age: Aged 5 to 9 years,TS009,1,0
9009,9,Sex: All persons; Age: Aged 5 years,TS009,2,0
9010,10,Sex: All persons; Age: Aged 6 years,TS009,2,0
9011,11,Sex: All persons; Age: Aged 7 years,TS009,2,0
9012,12,Sex: All persons; Age: Aged 8 years,TS009,2,0
9013,13,Sex: All persons; Age: Aged 9 years,TS009,2,0
9014,14,Sex: All persons; Age: Aged 10 to 15 years,TS009,1,0
9015,15,Sex: All persons; Age: Aged 10 years,TS009,2,0
9016,16,Sex: All persons; Age: Aged 11 years,TS009,2,0
9017,17,Sex: All persons; Age: Aged 12 years,TS009,2,0
9018,18,Sex: All persons; Age: Aged 13 years,TS009,2,0
9019,19,Sex: All persons; Age: Aged 14 years,TS009,2,0
9020,20,Sex: All persons; Age: Aged 15 years,TS009,2,0
9021,21,Sex: All persons; Age: Aged 16 to 19 years,TS009,1,0
9022,22,Sex: All persons; Age: Aged 16 years,TS009,2,0
9023,23,Sex: All persons; Age: Aged 17 years,TS009,2,0
9024,24,Sex: All persons; Age: Aged 18 years,TS009,2,0
9025,25,Sex: All persons; Age: Aged 19 years,TS009,2,0
9026,26,Sex: All persons; Age: Aged 20 to 24 years,TS009,1,0
9027,27,Sex: All persons; Age: Aged 20 years,TS009,2,0
9028,28,Sex: All persons; Age: Aged 21 years,TS009,2,0
9029,29,Sex: All persons; Age: Aged 22 years,TS009,2,0
9030,30,Sex: All persons; Age: Aged 23 years,TS009,2,0
9031,31,Sex: All persons; Age: Aged 24 years,TS009,2,0
9032,32,Sex: All persons; Age: Aged 25 to 34 years,TS009,1,0
9033,33,Sex: All persons; Age: Aged 25 years,TS009,2,0
9034,34,Sex: All persons; Age: Aged 26 years,TS009,2,0
9035,35,Sex: All persons; Age: Aged 27 years,TS009,2,0
9036,36,Sex: All persons; Age: Aged 28 years,TS009,2,0
9037,37,Sex: All persons; Age: Aged 29 years,TS009,2,0
9038,38,Sex: All persons; Age: Aged 30 years,TS009,2,0
9039,39,Sex: All persons; Age: Aged 31 years,TS009,2,0
9040,40,Sex: All persons; Age: Aged 32 years,TS009,2,0
9041,41,Sex: All persons; Age: Aged 33 years,TS009,2,0
9042,42,Sex: All persons; Age: Aged 34 years,TS009,2,0
9043,43,Sex: All persons; Age: Aged 35 to 49 years,TS009,1,0
9044,44,Sex: All persons; Age: Aged 35 years,TS009,2,0
9045,45,Sex: All persons; Age: Aged 36 years,TS009,2,0
9046,46,Sex: All persons; Age: Aged 37 years,TS009,2,0
9047,47,Sex: All persons; Age: Aged 38 years,TS009,2,0
9048,48,Sex: All persons; Age: Aged 39 years,TS009,2,0
9049,49,Sex: All persons; Age: Aged 40 years,TS009,2,0
9050,50,Sex: All persons; Age: Aged 41 years,TS009,2,0
9051,51,Sex: All persons; Age: Aged 42 years,TS009,2,0
9052,52,Sex: All persons; Age: Aged 43 years,TS009,2,0
9053,53,Sex: All persons; Age: Aged 44 years,TS009,2,0
9054,54,Sex: All persons; Age: Aged 45 years,TS009,2,0
9055,55,Sex: All persons; Age: Aged 46 years,TS009,2,0
9056,56,Sex: All persons; Age: Aged 47 years,TS009,2,0
9057,57,Sex: All persons; Age: Aged 48 years,TS009,2,0
9058,58,Sex: All persons; Age: Aged 49 years,TS009,2,0
9059,59,Sex: All persons; Age: Aged 50 to 64 years,TS009,1,0
9060,60,Sex: All persons; Age: Aged 50 years,TS009,2,0
9061,61,Sex: All persons; Age: Aged 51 years,TS009,2,0
9062,62,Sex: All persons; Age: Aged 52 years,TS009,2,0
9063,63,Sex: All persons; Age: Aged 53 years,TS009,2,0
9064,64,Sex: All persons; Age: Aged 54 years,TS009,2,0
9065,65,Sex: All persons; Age: Aged 55 years,TS009,2,0
9066,66,Sex: All persons; Age: Aged 56 years,TS009,2,0
9067,67,Sex: All persons; Age: Aged 57 years,TS009,2,0
9068,68,Sex: All persons; Age: Aged 58 years,TS009,2,0
9069,69,Sex: All persons; Age: Aged 59 years,TS009,2,0
9070,70,Sex: All persons; Age: Aged 60 years,TS009,2,0
9071,71,Sex: All persons; Age: Aged 61 years,TS009,2,0
9072,72,Sex: All persons; Age: Aged 62 years,TS009,2,0
9073,73,Sex: All persons; Age: Aged 63 years,TS009,2,0
9074,74,Sex: All persons; Age: Aged 64 years,TS009,2,0
9075,75,Sex: All persons; Age: Aged 65 to 74 years,TS009,1,0
9076,76,Sex: All persons; Age: Aged 65 years,TS009,2,0
9077,77,Sex: All persons; Age: Aged 66 years,TS009,2,0
9078,78,Sex: All persons; Age: Aged 67 years,TS009,2,0
9079,79,Sex: All persons; Age: Aged 68 years,TS009,2,0
9080,80,Sex: All persons; Age: Aged 69 years,TS009,2,0
9081,81,Sex: All persons; Age: Aged 70 years,TS009,2,0
9082,82,Sex: All persons; Age: Aged 71 years,TS009,2,0
9083,83,Sex: All persons; Age: Aged 72 years,TS009,2,0
9084,84,Sex: All persons; Age: Aged 73 years,TS009,2,0
9085,85,Sex: All persons; Age: Aged 74 years,TS009,2,0
9086,86,Sex: All persons; Age: Aged 75 to 84 years,TS009,1,0
9087,87,Sex: All persons; Age: Aged 75 years,TS009,2,0
9088,88,Sex: All persons; Age: Aged 76 years,TS009,2,0
9089,89,Sex: All persons; Age: Aged 77 years,TS009,2,0
9090,90,Sex: All persons; Age: Aged 78 years,TS009,2,0
9091,91,Sex: All persons; Age: Aged 79 years,TS009,2,0
9092,92,Sex: All persons; Age: Aged 80 years,TS009,2,0
9093,93,Sex: All persons; Age: Aged 81 years,TS009,2,0
9094,94,Sex: All persons; Age: Aged 82 years,TS009,2,0
9095,95,Sex: All persons; Age: Aged 83 years,TS009,2,0
9096,96,Sex: All persons; Age: Aged 84 years,TS009,2,0
9097,97,Sex: All persons; Age: Aged 85 years and over,TS009,1,0
9098,98,Sex: All persons; Age: Aged 85 years,TS009,2,0
9099,99,Sex: All persons; Age: Aged 86 years,TS009,2,0
9100,100,Sex: All persons; Age: Aged 87 years,TS009,2,0
9101,101,Sex: All persons; Age: Aged 88 years,TS009,2,0
9102,102,Sex: All persons; Age: Aged 89 years,TS009,2,0
9103,103,Sex: All persons; Age: Aged 90 years and over,TS009,2,1
9104,104,Sex: Female; Age: Total,TS009,1,0
9105,105,Sex: Female; Age: Aged 4 years and under,TS009,2,1
9106,106,Sex: Female; Age: Aged under 1 year,TS009,3,1
9107,107,Sex: Female; Age: Aged 1 year,TS009,3,1
9108,108,Sex: Female; Age: Aged 2 years,TS009,3,1
9109,109,Sex: Female; Age: Aged 3 years,TS009,3,1
9110,110,Sex: Female; Age: Aged 4 years,TS009,3,1
9111,111,Sex: Female; Age: Aged 5 to 9 years,TS009,2,1
9112,112,Sex: Female; Age: Aged 5 years,TS009,3,1
9113,113,Sex: Female; Age: Aged 6 years,TS009,3,1
9114,114,Sex: Female; Age: Aged 7 years,TS009,3,1
9115,115,Sex: Female; Age: Aged 8 years,TS009,3,1
9116,116,Sex: Female; Age: Aged 9 years,TS009,3,1
9117,117,Sex: Female; Age: Aged 10 to 15 years,TS009,2,1
9118,118,Sex: Female; Age: Aged 10 years,TS009,3,1
9119,119,Sex: Female; Age: Aged 11 years,TS009,3,1
9120,120,Sex: Female; Age: Aged 12 years,TS009,3,1
9121,121,Sex: Female; Age: Aged 13 years,TS009,3,1
9122,122,Sex: Female; Age: Aged 14 years,TS009,3,1
9123,123,Sex: Female; Age: Aged 15 years,TS009,3,1
9124,124,Sex: Female; Age: Aged 16 to 19 years,TS009,2,1
9125,125,Sex: Female; Age: Aged 16 years,TS009,3,1
9126,126,Sex: Female; Age: Aged 17 years,TS009,3,1
9127,127,Sex: Female; Age: Aged 18 years,TS009,3,1
9128,128,Sex: Female; Age: Aged 19 years,TS009,3,1
9129,129,Sex: Female; Age: Aged 20 to 24 years,TS009,2,1
9130,130,Sex: Female; Age: Aged 20 years,TS009,3,1
9131,131,Sex: Female; Age: Aged 21 years,TS009,3,1
9132,132,Sex: Female; Age: Aged 22 years,TS009,3,1
9133,133,Sex: Female; Age: Aged 23 years,TS009,3,1
9134,134,Sex: Female; Age: Aged 24 years,TS009,3,1
9135,135,Sex: Female; Age: Aged 25 to 34 years,TS009,2,1
9136,136,Sex: Female; Age: Aged 25 years,TS009,3,1
9137,137,Sex: Female; Age: Aged 26 years,TS009,3,1
9138,138,Sex: Female; Age: Aged 27 years,TS009,3,1
9139,139,Sex: Female; Age: Aged 28 years,TS009,3,1
9140,140,Sex: Female; Age: Aged 29 years,TS009,3,1
9141,141,Sex: Female; Age: Aged 30 years,TS009,3,1
9142,142,Sex: Female; Age: Aged 31 years,TS009,3,1
9143,143,Sex: Female; Age: Aged 32 years,TS009,3,1
9144,144,Sex: Female; Age: Aged 33 years,TS009,3,1
9145,145,Sex: Female; Age: Aged 34 years,TS009,3,1
9146,146,Sex: Female; Age: Aged 35 to 49 years,TS009,2,1
9147,147,Sex: Female; Age: Aged 35 years,TS009,3,1
9148,148,Sex: Female; Age: Aged 36 years,TS009,3,1
9149,149,Sex: Female; Age: Aged 37 years,TS009,3,1
9150,150,Sex: Female; Age: Aged 38 years,TS009,3,1
9151,151,Sex: Female; Age: Aged 39 years,TS009,3,1
9152,152,Sex: Female; Age: Aged 40 years,TS009,3,1
9153,153,Sex: Female; Age: Aged 41 years,TS009,3,1
9154,154,Sex: Female; Age: Aged 42 years,TS009,3,1
9155,155,Sex: Female; Age: Aged 43 years,TS009,3,1
9156,156,Sex: Female; Age: Aged 44 years,TS009,3,1
9157,157,Sex: Female; Age: Aged 45 years,TS009,3,1
9158,158,Sex: Female; Age: Aged 46 years,TS009,3,1
9159,159,Sex: Female; Age: Aged 47 years,TS009,3,1
9160,160,Sex: Female; Age: Aged 48 years,TS009,3,1
9161,161,Sex: Female; Age: Aged 49 years,TS009,3,1
9162,162,Sex: Female; Age: Aged 50 to 64 years,TS009,2,1
9163,163,Sex: Female; Age: Aged 50 years,TS009,3,1
9164,164,Sex: Female; Age: Aged 51 years,TS009,3,1
9165,165,Sex: Female; Age: Aged 52 years,TS009,3,1
9166,166,Sex: Female; Age: Aged 53 years,TS009,3,1
9167,167,Sex: Female; Age: Aged 54 years,TS009,3,1
9168,168,Sex: Female; Age: Aged 55 years,TS009,3,1
9169,169,Sex: Female; Age: Aged 56 years,TS009,3,1
9170,170,Sex: Female; Age: Aged 57 years,TS009,3,1
9171,171,Sex: Female; Age: Aged 58 years,TS009,3,1
9172,172,Sex: Female; Age: Aged 59 years,TS009,3,1
9173,173,Sex: Female; Age: Aged 60 years,TS009,3,1
9174,174,Sex: Female; Age: Aged 61 years,TS009,3,1
9175,175,Sex: Female; Age: Aged 62 years,TS009,3,1
9176,176,Sex: Female; Age: Aged 63 years,TS009,3,1
9177,177,Sex: Female; Age: Aged 64 years,TS009,3,1
9178,178,Sex: Female; Age: Aged 65 to 74 years,TS009,2,1
9179,179,Sex: Female; Age: Aged 65 years,TS009,3,1
9180,180,Sex: Female; Age: Aged 66 years,TS009,3,1
9181,181,Sex: Female; Age: Aged 67 years,TS009,3,1
9182,182,Sex: Female; Age: Aged 68 years,TS009,3,1
9183,183,Sex: Female; Age: Aged 69 years,TS009,3,1
9184,184,Sex: Female; Age: Aged 70 years,TS009,3,1
9185,185,Sex: Female; Age: Aged 71 years,TS009,3,1
9186,186,Sex: Female; Age: Aged 72 years,TS009,3,1
9187,187,Sex: Female; Age: Aged 73 years,TS009,3,1
9188,188,Sex: Female; Age: Aged 74 years,TS009,3,1
9189,189,Sex: Female; Age: Aged 75 to 84 years,TS009,2,1
9190,190,Sex: Female; Age: Aged 75 years,TS009,3,1
9191,191,Sex: Female; Age: Aged 76 years,TS009,3,1
9192,192,Sex: Female; Age: Aged 77 years,TS009,3,1
9193,193,Sex: Female; Age: Aged 78 years,TS009,3,1
9194,194,Sex: Female; Age: Aged 79 years,TS009,3,1
9195,195,Sex: Female; Age: Aged 80 years,TS009,3,1
9196,196,Sex: Female; Age: Aged 81 years,TS009,3,1
9197,197,Sex: Female; Age: Aged 82 years,TS009,3,1
9198,198,Sex: Female; Age: Aged 83 years,TS009,3,1
9199,199,Sex: Female; Age: Aged 84 years,TS009,3,1
9200,200,Sex: Female; Age: Aged 85 years and over,TS009,2,1
9201,201,Sex: Female; Age: Aged 85 years,TS009,3,1
9202,202,Sex: Female; Age: Aged 86 years,TS009,3,1
9203,203,Sex: Female; Age: Aged 87 years,TS009,3,1
9204,204,Sex: Female; Age: Aged 88 years,TS009,3,1
9205,205,Sex: Female; Age: Aged 89 years,TS009,3,1
9206,206,Sex: Female; Age: Aged 90 years and over,TS009,3,1
9207,207,Sex: Male; Age: Total,TS009,1,0
9208,208,Sex: Male; Age: Aged 4 years and under,TS009,2,1
9209,209,Sex: Male; Age: Aged under 1 year,TS009,3,1
9210,210,Sex: Male; Age: Aged 1 year,TS009,3,1
9211,211,Sex: Male; Age: Aged 2 years,TS009,3,1
9212,212,Sex: Male; Age: Aged 3 years,TS009,3,1
9213,213,Sex: Male; Age: Aged 4 years,TS009,3,1
9214,214,Sex: Male; Age: Aged 5 to 9 years,TS009,2,1
9215,215,Sex: Male; Age: Aged 5 years,TS009,3,1
9216,216,Sex: Male; Age: Aged 6 years,TS009,3,1
9217,217,Sex: Male; Age: Aged 7 years,TS009,3,1
9218,218,Sex: Male; Age: Aged 8 years,TS009,3,1
9219,219,Sex: Male; Age: Aged 9 years,TS009,3,1
9220,220,Sex: Male; Age: Aged 10 to 15 years,TS009,2,1
9221,221,Sex: Male; Age: Aged 10 years,TS009,3,1
9222,222,Sex: Male; Age: Aged 11 years,TS009,3,1
9223,223,Sex: Male; Age: Aged 12 years,TS009,3,1
9224,224,Sex: Male; Age: Aged 13 years,TS009,3,1
9225,225,Sex: Male; Age: Aged 14 years,TS009,3,1
9226,226,Sex: Male; Age: Aged 15 years,TS009,3,1
9227,227,Sex: Male; Age: Aged 16 to 19 years,TS009,2,1
9228,228,Sex: Male; Age: Aged 16 years,TS009,3,1
9229,229,Sex: Male; Age: Aged 17 years,TS009,3,1
9230,230,Sex: Male; Age: Aged 18 years,TS009,3,1
9231,231,Sex: Male; Age: Aged 19 years,TS009,3,1
9232,232,Sex: Male; Age: Aged 20 to 24 years,TS009,2,1
9233,233,Sex: Male; Age: Aged 20 years,TS009,3,1
9234,234,Sex: Male; Age: Aged 21 years,TS009,3,1
9235,235,Sex: Male; Age: Aged 22 years,TS009,3,1
9236,236,Sex: Male; Age: Aged 23 years,TS009,3,1
9237,237,Sex: Male; Age: Aged 24 years,TS009,3,1
9238,238,Sex: Male; Age: Aged 25 to 34 years,TS009,2,1
9239,239,Sex: Male; Age: Aged 25 years,TS009,3,1
9240,240,Sex: Male; Age: Aged 26 years,TS009,3,1
9241,241,Sex: Male; Age: Aged 27 years,TS009,3,1
9242,242,Sex: Male; Age: Aged 28 years,TS009,3,1
9243,243,Sex: Male; Age: Aged 29 years,TS009,3,1
9244,244,Sex: Male; Age: Aged 30 years,TS009,3,1
9245,245,Sex: Male; Age: Aged 31 years,TS009,3,1
9246,246,Sex: Male; Age: Aged 32 years,TS009,3,1
9247,247,Sex: Male; Age: Aged 33 years,TS009,3,1
9248,248,Sex: Male; Age: Aged 34 years,TS009,3,1
9249,249,Sex: Male; Age: Aged 35 to 49 years,TS009,2,1
9250,250,Sex: Male; Age: Aged 35 years,TS009,3,1
9251,251,Sex: Male; Age: Aged 36 years,TS009,3,1
9252,252,Sex: Male; Age: Aged 37 years,TS009,3,1
9253,253,Sex: Male; Age: Aged 38 years,TS009,3,1
9254,254,Sex: Male; Age: Aged 39 years,TS009,3,1
9255,255,Sex: Male; Age: Aged 40 years,TS009,3,1
9256,256,Sex: Male; Age: Aged 41 years,TS009,3,1
9257,257,Sex: Male; Age: Aged 42 years,TS009,3,1
9258,258,Sex: Male; Age: Aged 43 years,TS009,3,1
9259,259,Sex: Male; Age: Aged 44 years,TS009,3,1
9260,260,Sex: Male; Age: Aged 45 years,TS009,3,1
9261,261,Sex: Male; Age: Aged 46 years,TS009,3,1
9262,262,Sex: Male; Age: Aged 47 years,TS009,3,1
9263,263,Sex: Male; Age: Aged 48 years,TS009,3,1
9264,264,Sex: Male; Age: Aged 49 years,TS009,3,1
9265,265,Sex: Male; Age: Aged 50 to 64 years,TS009,2,1
